"","date","product","Sales"
"113",2017-01-29,"Advanced Techniques",244
"114",2017-01-29,"For Kids: One Smart Goose",238
"115",2017-01-29,"Getting Started",163
"116",2017-01-29,"Recipe Book",150
"117",2017-01-30,"Advanced Techniques",198
"118",2017-01-30,"For Kids: One Smart Goose",202
"119",2017-01-30,"Getting Started",139
"120",2017-01-30,"Recipe Book",125
"121",2017-01-31,"Advanced Techniques",208
"122",2017-01-31,"For Kids: One Smart Goose",198
"123",2017-01-31,"Getting Started",139
"124",2017-01-31,"Recipe Book",121
"125",2017-02-01,"Advanced Techniques",205
"126",2017-02-01,"For Kids: One Smart Goose",199
"127",2017-02-01,"Getting Started",137
"128",2017-02-01,"Recipe Book",121
"129",2017-02-02,"Advanced Techniques",210
"130",2017-02-02,"For Kids: One Smart Goose",198
"131",2017-02-02,"Getting Started",135
"132",2017-02-02,"Recipe Book",125
"133",2017-02-03,"Advanced Techniques",220
"134",2017-02-03,"For Kids: One Smart Goose",204
"135",2017-02-03,"Getting Started",140
"136",2017-02-03,"Recipe Book",127
"137",2017-02-04,"Advanced Techniques",242
"138",2017-02-04,"For Kids: One Smart Goose",228
"139",2017-02-04,"Getting Started",160
"140",2017-02-04,"Recipe Book",143
"141",2017-02-05,"Advanced Techniques",250
"142",2017-02-05,"For Kids: One Smart Goose",235
"143",2017-02-05,"Getting Started",166
"144",2017-02-05,"Recipe Book",145
"145",2017-02-06,"Advanced Techniques",212
"146",2017-02-06,"For Kids: One Smart Goose",196
"147",2017-02-06,"Getting Started",138
"148",2017-02-06,"Recipe Book",121
"149",2017-02-07,"Advanced Techniques",210
"150",2017-02-07,"For Kids: One Smart Goose",193
"151",2017-02-07,"Getting Started",132
"152",2017-02-07,"Recipe Book",119
"153",2017-02-08,"Advanced Techniques",209
"154",2017-02-08,"For Kids: One Smart Goose",199
"155",2017-02-08,"Getting Started",138
"156",2017-02-08,"Recipe Book",121
"157",2017-02-09,"Advanced Techniques",210
"158",2017-02-09,"For Kids: One Smart Goose",195
"159",2017-02-09,"Getting Started",130
"160",2017-02-09,"Recipe Book",122
"161",2017-02-10,"Advanced Techniques",227
"162",2017-02-10,"For Kids: One Smart Goose",208
"163",2017-02-10,"Getting Started",145
"164",2017-02-10,"Recipe Book",130
"165",2017-02-11,"Advanced Techniques",243
"166",2017-02-11,"For Kids: One Smart Goose",222
"167",2017-02-11,"Getting Started",153
"168",2017-02-11,"Recipe Book",138
"169",2017-02-12,"Advanced Techniques",263
"170",2017-02-12,"For Kids: One Smart Goose",237
"171",2017-02-12,"Getting Started",164
"172",2017-02-12,"Recipe Book",141
"173",2017-02-13,"Advanced Techniques",217
"174",2017-02-13,"For Kids: One Smart Goose",196
"175",2017-02-13,"Getting Started",132
"176",2017-02-13,"Recipe Book",124
"177",2017-02-14,"Advanced Techniques",212
"178",2017-02-14,"For Kids: One Smart Goose",198
"179",2017-02-14,"Getting Started",132
"180",2017-02-14,"Recipe Book",118
"181",2017-02-15,"Advanced Techniques",213
"182",2017-02-15,"For Kids: One Smart Goose",201
"183",2017-02-15,"Getting Started",137
"184",2017-02-15,"Recipe Book",120
"185",2017-02-16,"Advanced Techniques",217
"186",2017-02-16,"For Kids: One Smart Goose",194
"187",2017-02-16,"Getting Started",135
"188",2017-02-16,"Recipe Book",123
"189",2017-02-17,"Advanced Techniques",230
"190",2017-02-17,"For Kids: One Smart Goose",205
"191",2017-02-17,"Getting Started",135
"192",2017-02-17,"Recipe Book",125
"193",2017-02-18,"Advanced Techniques",255
"194",2017-02-18,"For Kids: One Smart Goose",222
"195",2017-02-18,"Getting Started",153
"196",2017-02-18,"Recipe Book",140
"197",2017-02-19,"Advanced Techniques",263
"198",2017-02-19,"For Kids: One Smart Goose",231
"199",2017-02-19,"Getting Started",161
"200",2017-02-19,"Recipe Book",140
"201",2017-02-20,"Advanced Techniques",215
"202",2017-02-20,"For Kids: One Smart Goose",203
"203",2017-02-20,"Getting Started",134
"204",2017-02-20,"Recipe Book",120
"205",2017-02-21,"Advanced Techniques",224
"206",2017-02-21,"For Kids: One Smart Goose",190
"207",2017-02-21,"Getting Started",129
"208",2017-02-21,"Recipe Book",119
"209",2017-02-22,"Advanced Techniques",221
"210",2017-02-22,"For Kids: One Smart Goose",193
"211",2017-02-22,"Getting Started",131
"212",2017-02-22,"Recipe Book",121
"213",2017-02-23,"Advanced Techniques",217
"214",2017-02-23,"For Kids: One Smart Goose",195
"215",2017-02-23,"Getting Started",128
"216",2017-02-23,"Recipe Book",118
"217",2017-02-24,"Advanced Techniques",231
"218",2017-02-24,"For Kids: One Smart Goose",202
"219",2017-02-24,"Getting Started",137
"220",2017-02-24,"Recipe Book",122
"221",2017-02-25,"Advanced Techniques",253
"222",2017-02-25,"For Kids: One Smart Goose",223
"223",2017-02-25,"Getting Started",150
"224",2017-02-25,"Recipe Book",137
"225",2017-02-26,"Advanced Techniques",264
"226",2017-02-26,"For Kids: One Smart Goose",238
"227",2017-02-26,"Getting Started",153
"228",2017-02-26,"Recipe Book",147
"229",2017-02-27,"Advanced Techniques",220
"230",2017-02-27,"For Kids: One Smart Goose",194
"231",2017-02-27,"Getting Started",130
"232",2017-02-27,"Recipe Book",120
"233",2017-02-28,"Advanced Techniques",221
"234",2017-02-28,"For Kids: One Smart Goose",196
"235",2017-02-28,"Getting Started",130
"236",2017-02-28,"Recipe Book",120
"237",2017-03-01,"Advanced Techniques",217
"238",2017-03-01,"For Kids: One Smart Goose",193
"239",2017-03-01,"Getting Started",129
"240",2017-03-01,"Recipe Book",120
"241",2017-03-02,"Advanced Techniques",216
"242",2017-03-02,"For Kids: One Smart Goose",190
"243",2017-03-02,"Getting Started",130
"244",2017-03-02,"Recipe Book",118
"245",2017-03-03,"Advanced Techniques",241
"246",2017-03-03,"For Kids: One Smart Goose",203
"247",2017-03-03,"Getting Started",135
"248",2017-03-03,"Recipe Book",123
"249",2017-03-04,"Advanced Techniques",253
"250",2017-03-04,"For Kids: One Smart Goose",218
"251",2017-03-04,"Getting Started",150
"252",2017-03-04,"Recipe Book",133
"253",2017-03-05,"Advanced Techniques",262
"254",2017-03-05,"For Kids: One Smart Goose",232
"255",2017-03-05,"Getting Started",152
"256",2017-03-05,"Recipe Book",143
"257",2017-03-06,"Advanced Techniques",219
"258",2017-03-06,"For Kids: One Smart Goose",192
"259",2017-03-06,"Getting Started",128
"260",2017-03-06,"Recipe Book",118
"261",2017-03-07,"Advanced Techniques",222
"262",2017-03-07,"For Kids: One Smart Goose",195
"263",2017-03-07,"Getting Started",132
"264",2017-03-07,"Recipe Book",116
"265",2017-03-08,"Advanced Techniques",221
"266",2017-03-08,"For Kids: One Smart Goose",194
"267",2017-03-08,"Getting Started",133
"268",2017-03-08,"Recipe Book",120
"269",2017-03-09,"Advanced Techniques",225
"270",2017-03-09,"For Kids: One Smart Goose",193
"271",2017-03-09,"Getting Started",131
"272",2017-03-09,"Recipe Book",116
"273",2017-03-10,"Advanced Techniques",237
"274",2017-03-10,"For Kids: One Smart Goose",202
"275",2017-03-10,"Getting Started",135
"276",2017-03-10,"Recipe Book",122
"277",2017-03-11,"Advanced Techniques",263
"278",2017-03-11,"For Kids: One Smart Goose",229
"279",2017-03-11,"Getting Started",149
"280",2017-03-11,"Recipe Book",131
"281",2017-03-12,"Advanced Techniques",260
"282",2017-03-12,"For Kids: One Smart Goose",227
"283",2017-03-12,"Getting Started",158
"284",2017-03-12,"Recipe Book",135
"285",2017-03-13,"Advanced Techniques",226
"286",2017-03-13,"For Kids: One Smart Goose",194
"287",2017-03-13,"Getting Started",126
"288",2017-03-13,"Recipe Book",115
"289",2017-03-14,"Advanced Techniques",229
"290",2017-03-14,"For Kids: One Smart Goose",193
"291",2017-03-14,"Getting Started",124
"292",2017-03-14,"Recipe Book",115
"293",2017-03-15,"Advanced Techniques",224
"294",2017-03-15,"For Kids: One Smart Goose",189
"295",2017-03-15,"Getting Started",126
"296",2017-03-15,"Recipe Book",114
"297",2017-03-16,"Advanced Techniques",222
"298",2017-03-16,"For Kids: One Smart Goose",190
"299",2017-03-16,"Getting Started",133
"300",2017-03-16,"Recipe Book",117
"301",2017-03-17,"Advanced Techniques",238
"302",2017-03-17,"For Kids: One Smart Goose",199
"303",2017-03-17,"Getting Started",132
"304",2017-03-17,"Recipe Book",120
"305",2017-03-18,"Advanced Techniques",260
"306",2017-03-18,"For Kids: One Smart Goose",227
"307",2017-03-18,"Getting Started",144
"308",2017-03-18,"Recipe Book",132
"309",2017-03-19,"Advanced Techniques",268
"310",2017-03-19,"For Kids: One Smart Goose",230
"311",2017-03-19,"Getting Started",147
"312",2017-03-19,"Recipe Book",136
"313",2017-03-20,"Advanced Techniques",228
"314",2017-03-20,"For Kids: One Smart Goose",194
"315",2017-03-20,"Getting Started",125
"316",2017-03-20,"Recipe Book",116
"317",2017-03-21,"Advanced Techniques",228
"318",2017-03-21,"For Kids: One Smart Goose",193
"319",2017-03-21,"Getting Started",129
"320",2017-03-21,"Recipe Book",110
"321",2017-03-22,"Advanced Techniques",221
"322",2017-03-22,"For Kids: One Smart Goose",194
"323",2017-03-22,"Getting Started",125
"324",2017-03-22,"Recipe Book",114
"325",2017-03-23,"Advanced Techniques",219
"326",2017-03-23,"For Kids: One Smart Goose",192
"327",2017-03-23,"Getting Started",127
"328",2017-03-23,"Recipe Book",114
"329",2017-03-24,"Advanced Techniques",239
"330",2017-03-24,"For Kids: One Smart Goose",198
"331",2017-03-24,"Getting Started",136
"332",2017-03-24,"Recipe Book",115
"333",2017-03-25,"Advanced Techniques",260
"334",2017-03-25,"For Kids: One Smart Goose",222
"335",2017-03-25,"Getting Started",143
"336",2017-03-25,"Recipe Book",133
"337",2017-03-26,"Advanced Techniques",269
"338",2017-03-26,"For Kids: One Smart Goose",234
"339",2017-03-26,"Getting Started",155
"340",2017-03-26,"Recipe Book",132
"341",2017-03-27,"Advanced Techniques",230
"342",2017-03-27,"For Kids: One Smart Goose",195
"343",2017-03-27,"Getting Started",125
"344",2017-03-27,"Recipe Book",110
"345",2017-03-28,"Advanced Techniques",232
"346",2017-03-28,"For Kids: One Smart Goose",189
"347",2017-03-28,"Getting Started",124
"348",2017-03-28,"Recipe Book",112
"349",2017-03-29,"Advanced Techniques",221
"350",2017-03-29,"For Kids: One Smart Goose",194
"351",2017-03-29,"Getting Started",127
"352",2017-03-29,"Recipe Book",110
"353",2017-03-30,"Advanced Techniques",228
"354",2017-03-30,"For Kids: One Smart Goose",195
"355",2017-03-30,"Getting Started",130
"356",2017-03-30,"Recipe Book",115
"357",2017-03-31,"Advanced Techniques",243
"358",2017-03-31,"For Kids: One Smart Goose",205
"359",2017-03-31,"Getting Started",130
"360",2017-03-31,"Recipe Book",118
"361",2017-04-01,"Advanced Techniques",263
"362",2017-04-01,"For Kids: One Smart Goose",226
"363",2017-04-01,"Getting Started",148
"364",2017-04-01,"Recipe Book",129
"365",2017-04-02,"Advanced Techniques",274
"366",2017-04-02,"For Kids: One Smart Goose",236
"367",2017-04-02,"Getting Started",148
"368",2017-04-02,"Recipe Book",138
"369",2017-04-03,"Advanced Techniques",228
"370",2017-04-03,"For Kids: One Smart Goose",197
"371",2017-04-03,"Getting Started",126
"372",2017-04-03,"Recipe Book",110
"373",2017-04-04,"Advanced Techniques",232
"374",2017-04-04,"For Kids: One Smart Goose",192
"375",2017-04-04,"Getting Started",129
"376",2017-04-04,"Recipe Book",110
"377",2017-04-05,"Advanced Techniques",227
"378",2017-04-05,"For Kids: One Smart Goose",192
"379",2017-04-05,"Getting Started",126
"380",2017-04-05,"Recipe Book",114
"381",2017-04-06,"Advanced Techniques",225
"382",2017-04-06,"For Kids: One Smart Goose",192
"383",2017-04-06,"Getting Started",126
"384",2017-04-06,"Recipe Book",110
"385",2017-04-07,"Advanced Techniques",234
"386",2017-04-07,"For Kids: One Smart Goose",205
"387",2017-04-07,"Getting Started",131
"388",2017-04-07,"Recipe Book",117
"389",2017-04-08,"Advanced Techniques",265
"390",2017-04-08,"For Kids: One Smart Goose",226
"391",2017-04-08,"Getting Started",147
"392",2017-04-08,"Recipe Book",130
"393",2017-04-09,"Advanced Techniques",275
"394",2017-04-09,"For Kids: One Smart Goose",234
"395",2017-04-09,"Getting Started",149
"396",2017-04-09,"Recipe Book",133
"397",2017-04-10,"Advanced Techniques",235
"398",2017-04-10,"For Kids: One Smart Goose",191
"399",2017-04-10,"Getting Started",128
"400",2017-04-10,"Recipe Book",108
"401",2017-04-11,"Advanced Techniques",236
"402",2017-04-11,"For Kids: One Smart Goose",196
"403",2017-04-11,"Getting Started",124
"404",2017-04-11,"Recipe Book",110
"405",2017-04-12,"Advanced Techniques",233
"406",2017-04-12,"For Kids: One Smart Goose",193
"407",2017-04-12,"Getting Started",128
"408",2017-04-12,"Recipe Book",113
"409",2017-04-13,"Advanced Techniques",226
"410",2017-04-13,"For Kids: One Smart Goose",195
"411",2017-04-13,"Getting Started",126
"412",2017-04-13,"Recipe Book",110
"413",2017-04-14,"Advanced Techniques",236
"414",2017-04-14,"For Kids: One Smart Goose",208
"415",2017-04-14,"Getting Started",135
"416",2017-04-14,"Recipe Book",114
"417",2017-04-15,"Advanced Techniques",266
"418",2017-04-15,"For Kids: One Smart Goose",228
"419",2017-04-15,"Getting Started",145
"420",2017-04-15,"Recipe Book",129
"421",2017-04-16,"Advanced Techniques",285
"422",2017-04-16,"For Kids: One Smart Goose",232
"423",2017-04-16,"Getting Started",160
"424",2017-04-16,"Recipe Book",134
"425",2017-04-17,"Advanced Techniques",240
"426",2017-04-17,"For Kids: One Smart Goose",202
"427",2017-04-17,"Getting Started",136
"428",2017-04-17,"Recipe Book",116
"429",2017-04-18,"Advanced Techniques",245
"430",2017-04-18,"For Kids: One Smart Goose",206
"431",2017-04-18,"Getting Started",136
"432",2017-04-18,"Recipe Book",119
"433",2017-04-19,"Advanced Techniques",248
"434",2017-04-19,"For Kids: One Smart Goose",215
"435",2017-04-19,"Getting Started",143
"436",2017-04-19,"Recipe Book",116
"437",2017-04-20,"Advanced Techniques",254
"438",2017-04-20,"For Kids: One Smart Goose",216
"439",2017-04-20,"Getting Started",144
"440",2017-04-20,"Recipe Book",120
"441",2017-04-21,"Advanced Techniques",274
"442",2017-04-21,"For Kids: One Smart Goose",241
"443",2017-04-21,"Getting Started",151
"444",2017-04-21,"Recipe Book",129
"445",2017-04-22,"Advanced Techniques",291
"446",2017-04-22,"For Kids: One Smart Goose",247
"447",2017-04-22,"Getting Started",168
"448",2017-04-22,"Recipe Book",136
"449",2017-04-23,"Advanced Techniques",297
"450",2017-04-23,"For Kids: One Smart Goose",261
"451",2017-04-23,"Getting Started",175
"452",2017-04-23,"Recipe Book",142
"453",2017-04-24,"Advanced Techniques",235
"454",2017-04-24,"For Kids: One Smart Goose",198
"455",2017-04-24,"Getting Started",139
"456",2017-04-24,"Recipe Book",113
"457",2017-04-25,"Advanced Techniques",233
"458",2017-04-25,"For Kids: One Smart Goose",193
"459",2017-04-25,"Getting Started",131
"460",2017-04-25,"Recipe Book",110
"461",2017-04-26,"Advanced Techniques",237
"462",2017-04-26,"For Kids: One Smart Goose",194
"463",2017-04-26,"Getting Started",133
"464",2017-04-26,"Recipe Book",111
"465",2017-04-27,"Advanced Techniques",220
"466",2017-04-27,"For Kids: One Smart Goose",195
"467",2017-04-27,"Getting Started",132
"468",2017-04-27,"Recipe Book",111
"469",2017-04-28,"Advanced Techniques",239
"470",2017-04-28,"For Kids: One Smart Goose",206
"471",2017-04-28,"Getting Started",138
"472",2017-04-28,"Recipe Book",113
"473",2017-04-29,"Advanced Techniques",270
"474",2017-04-29,"For Kids: One Smart Goose",225
"475",2017-04-29,"Getting Started",152
"476",2017-04-29,"Recipe Book",125
"477",2017-04-30,"Advanced Techniques",271
"478",2017-04-30,"For Kids: One Smart Goose",235
"479",2017-04-30,"Getting Started",154
"480",2017-04-30,"Recipe Book",129
"481",2017-05-01,"Advanced Techniques",229
"482",2017-05-01,"For Kids: One Smart Goose",201
"483",2017-05-01,"Getting Started",129
"484",2017-05-01,"Recipe Book",109
"485",2017-05-02,"Advanced Techniques",228
"486",2017-05-02,"For Kids: One Smart Goose",200
"487",2017-05-02,"Getting Started",138
"488",2017-05-02,"Recipe Book",111
"489",2017-05-03,"Advanced Techniques",240
"490",2017-05-03,"For Kids: One Smart Goose",207
"491",2017-05-03,"Getting Started",138
"492",2017-05-03,"Recipe Book",117
"493",2017-05-04,"Advanced Techniques",254
"494",2017-05-04,"For Kids: One Smart Goose",214
"495",2017-05-04,"Getting Started",145
"496",2017-05-04,"Recipe Book",115
"497",2017-05-05,"Advanced Techniques",276
"498",2017-05-05,"For Kids: One Smart Goose",231
"499",2017-05-05,"Getting Started",156
"500",2017-05-05,"Recipe Book",125
"501",2017-05-06,"Advanced Techniques",293
"502",2017-05-06,"For Kids: One Smart Goose",248
"503",2017-05-06,"Getting Started",171
"504",2017-05-06,"Recipe Book",138
"505",2017-05-07,"Advanced Techniques",302
"506",2017-05-07,"For Kids: One Smart Goose",262
"507",2017-05-07,"Getting Started",171
"508",2017-05-07,"Recipe Book",133
"509",2017-05-08,"Advanced Techniques",241
"510",2017-05-08,"For Kids: One Smart Goose",205
"511",2017-05-08,"Getting Started",141
"512",2017-05-08,"Recipe Book",112
"513",2017-05-09,"Advanced Techniques",233
"514",2017-05-09,"For Kids: One Smart Goose",197
"515",2017-05-09,"Getting Started",141
"516",2017-05-09,"Recipe Book",110
"517",2017-05-10,"Advanced Techniques",231
"518",2017-05-10,"For Kids: One Smart Goose",200
"519",2017-05-10,"Getting Started",138
"520",2017-05-10,"Recipe Book",111
"521",2017-05-11,"Advanced Techniques",231
"522",2017-05-11,"For Kids: One Smart Goose",200
"523",2017-05-11,"Getting Started",137
"524",2017-05-11,"Recipe Book",106
"525",2017-05-12,"Advanced Techniques",242
"526",2017-05-12,"For Kids: One Smart Goose",204
"527",2017-05-12,"Getting Started",140
"528",2017-05-12,"Recipe Book",113
"529",2017-05-13,"Advanced Techniques",255
"530",2017-05-13,"For Kids: One Smart Goose",224
"531",2017-05-13,"Getting Started",153
"532",2017-05-13,"Recipe Book",122
"533",2017-05-14,"Advanced Techniques",270
"534",2017-05-14,"For Kids: One Smart Goose",235
"535",2017-05-14,"Getting Started",164
"536",2017-05-14,"Recipe Book",123
"537",2017-05-15,"Advanced Techniques",221
"538",2017-05-15,"For Kids: One Smart Goose",198
"539",2017-05-15,"Getting Started",134
"540",2017-05-15,"Recipe Book",107
"541",2017-05-16,"Advanced Techniques",219
"542",2017-05-16,"For Kids: One Smart Goose",194
"543",2017-05-16,"Getting Started",131
"544",2017-05-16,"Recipe Book",104
"545",2017-05-17,"Advanced Techniques",213
"546",2017-05-17,"For Kids: One Smart Goose",191
"547",2017-05-17,"Getting Started",132
"548",2017-05-17,"Recipe Book",104
"549",2017-05-18,"Advanced Techniques",214
"550",2017-05-18,"For Kids: One Smart Goose",192
"551",2017-05-18,"Getting Started",134
"552",2017-05-18,"Recipe Book",103
"553",2017-05-19,"Advanced Techniques",227
"554",2017-05-19,"For Kids: One Smart Goose",209
"555",2017-05-19,"Getting Started",142
"556",2017-05-19,"Recipe Book",105
"557",2017-05-20,"Advanced Techniques",238
"558",2017-05-20,"For Kids: One Smart Goose",223
"559",2017-05-20,"Getting Started",150
"560",2017-05-20,"Recipe Book",120
"561",2017-05-21,"Advanced Techniques",258
"562",2017-05-21,"For Kids: One Smart Goose",225
"563",2017-05-21,"Getting Started",159
"564",2017-05-21,"Recipe Book",124
"565",2017-05-22,"Advanced Techniques",214
"566",2017-05-22,"For Kids: One Smart Goose",190
"567",2017-05-22,"Getting Started",136
"568",2017-05-22,"Recipe Book",101
"569",2017-05-23,"Advanced Techniques",218
"570",2017-05-23,"For Kids: One Smart Goose",195
"571",2017-05-23,"Getting Started",136
"572",2017-05-23,"Recipe Book",103
"573",2017-05-24,"Advanced Techniques",210
"574",2017-05-24,"For Kids: One Smart Goose",191
"575",2017-05-24,"Getting Started",137
"576",2017-05-24,"Recipe Book",102
"577",2017-05-25,"Advanced Techniques",214
"578",2017-05-25,"For Kids: One Smart Goose",197
"579",2017-05-25,"Getting Started",137
"580",2017-05-25,"Recipe Book",103
"581",2017-05-26,"Advanced Techniques",228
"582",2017-05-26,"For Kids: One Smart Goose",210
"583",2017-05-26,"Getting Started",143
"584",2017-05-26,"Recipe Book",109
"585",2017-05-27,"Advanced Techniques",260
"586",2017-05-27,"For Kids: One Smart Goose",228
"587",2017-05-27,"Getting Started",164
"588",2017-05-27,"Recipe Book",117
"589",2017-05-28,"Advanced Techniques",277
"590",2017-05-28,"For Kids: One Smart Goose",248
"591",2017-05-28,"Getting Started",169
"592",2017-05-28,"Recipe Book",130
"593",2017-05-29,"Advanced Techniques",225
"594",2017-05-29,"For Kids: One Smart Goose",205
"595",2017-05-29,"Getting Started",151
"596",2017-05-29,"Recipe Book",109
"597",2017-05-30,"Advanced Techniques",226
"598",2017-05-30,"For Kids: One Smart Goose",209
"599",2017-05-30,"Getting Started",143
"600",2017-05-30,"Recipe Book",111
"601",2017-05-31,"Advanced Techniques",219
"602",2017-05-31,"For Kids: One Smart Goose",208
"603",2017-05-31,"Getting Started",144
"604",2017-05-31,"Recipe Book",107
"605",2017-06-01,"Advanced Techniques",213
"606",2017-06-01,"For Kids: One Smart Goose",200
"607",2017-06-01,"Getting Started",140
"608",2017-06-01,"Recipe Book",104
"609",2017-06-02,"Advanced Techniques",224
"610",2017-06-02,"For Kids: One Smart Goose",206
"611",2017-06-02,"Getting Started",150
"612",2017-06-02,"Recipe Book",108
"613",2017-06-03,"Advanced Techniques",238
"614",2017-06-03,"For Kids: One Smart Goose",222
"615",2017-06-03,"Getting Started",160
"616",2017-06-03,"Recipe Book",113
"617",2017-06-04,"Advanced Techniques",247
"618",2017-06-04,"For Kids: One Smart Goose",230
"619",2017-06-04,"Getting Started",168
"620",2017-06-04,"Recipe Book",121
"621",2017-06-05,"Advanced Techniques",209
"622",2017-06-05,"For Kids: One Smart Goose",190
"623",2017-06-05,"Getting Started",140
"624",2017-06-05,"Recipe Book",103
"625",2017-06-06,"Advanced Techniques",216
"626",2017-06-06,"For Kids: One Smart Goose",198
"627",2017-06-06,"Getting Started",146
"628",2017-06-06,"Recipe Book",102
"629",2017-06-07,"Advanced Techniques",221
"630",2017-06-07,"For Kids: One Smart Goose",202
"631",2017-06-07,"Getting Started",148
"632",2017-06-07,"Recipe Book",107
"633",2017-06-08,"Advanced Techniques",220
"634",2017-06-08,"For Kids: One Smart Goose",204
"635",2017-06-08,"Getting Started",154
"636",2017-06-08,"Recipe Book",109
"637",2017-06-09,"Advanced Techniques",233
"638",2017-06-09,"For Kids: One Smart Goose",222
"639",2017-06-09,"Getting Started",159
"640",2017-06-09,"Recipe Book",116
"641",2017-06-10,"Advanced Techniques",259
"642",2017-06-10,"For Kids: One Smart Goose",242
