"","date","country","Sales"
"148",2017-01-25,"Italy",159
"149",2017-01-25,"Poland",69
"150",2017-01-25,"Spain",137
"151",2017-01-26,"Belgium",216
"152",2017-01-26,"France",188
"153",2017-01-26,"Germany",219
"154",2017-01-26,"Italy",152
"155",2017-01-26,"Poland",68
"156",2017-01-26,"Spain",139
"157",2017-01-27,"Belgium",236
"158",2017-01-27,"France",200
"159",2017-01-27,"Germany",222
"160",2017-01-27,"Italy",171
"161",2017-01-27,"Poland",71
"162",2017-01-27,"Spain",148
"163",2017-01-28,"Belgium",247
"164",2017-01-28,"France",217
"165",2017-01-28,"Germany",252
"166",2017-01-28,"Italy",180
"167",2017-01-28,"Poland",78
"168",2017-01-28,"Spain",156
"169",2017-01-29,"Belgium",258
"170",2017-01-29,"France",228
"171",2017-01-29,"Germany",274
"172",2017-01-29,"Italy",188
"173",2017-01-29,"Poland",80
"174",2017-01-29,"Spain",164
"175",2017-01-30,"Belgium",216
"176",2017-01-30,"France",190
"177",2017-01-30,"Germany",234
"178",2017-01-30,"Italy",155
"179",2017-01-30,"Poland",65
"180",2017-01-30,"Spain",136
"181",2017-01-31,"Belgium",221
"182",2017-01-31,"France",190
"183",2017-01-31,"Germany",218
"184",2017-01-31,"Italy",156
"185",2017-01-31,"Poland",71
"186",2017-01-31,"Spain",143
"187",2017-02-01,"Belgium",219
"188",2017-02-01,"France",190
"189",2017-02-01,"Germany",218
"190",2017-02-01,"Italy",163
"191",2017-02-01,"Poland",67
"192",2017-02-01,"Spain",137
"193",2017-02-02,"Belgium",214
"194",2017-02-02,"France",198
"195",2017-02-02,"Germany",217
"196",2017-02-02,"Italy",162
"197",2017-02-02,"Poland",66
"198",2017-02-02,"Spain",144
"199",2017-02-03,"Belgium",226
"200",2017-02-03,"France",194
"201",2017-02-03,"Germany",239
"202",2017-02-03,"Italy",165
"203",2017-02-03,"Poland",71
"204",2017-02-03,"Spain",143
"205",2017-02-04,"Belgium",254
"206",2017-02-04,"France",221
"207",2017-02-04,"Germany",261
"208",2017-02-04,"Italy",184
"209",2017-02-04,"Poland",81
"210",2017-02-04,"Spain",158
"211",2017-02-05,"Belgium",261
"212",2017-02-05,"France",229
"213",2017-02-05,"Germany",264
"214",2017-02-05,"Italy",188
"215",2017-02-05,"Poland",83
"216",2017-02-05,"Spain",168
"217",2017-02-06,"Belgium",228
"218",2017-02-06,"France",189
"219",2017-02-06,"Germany",217
"220",2017-02-06,"Italy",160
"221",2017-02-06,"Poland",68
"222",2017-02-06,"Spain",139
"223",2017-02-07,"Belgium",210
"224",2017-02-07,"France",185
"225",2017-02-07,"Germany",219
"226",2017-02-07,"Italy",161
"227",2017-02-07,"Poland",70
"228",2017-02-07,"Spain",135
"229",2017-02-08,"Belgium",224
"230",2017-02-08,"France",193
"231",2017-02-08,"Germany",222
"232",2017-02-08,"Italy",155
"233",2017-02-08,"Poland",70
"234",2017-02-08,"Spain",137
"235",2017-02-09,"Belgium",218
"236",2017-02-09,"France",188
"237",2017-02-09,"Germany",212
"238",2017-02-09,"Italy",162
"239",2017-02-09,"Poland",70
"240",2017-02-09,"Spain",137
"241",2017-02-10,"Belgium",230
"242",2017-02-10,"France",202
"243",2017-02-10,"Germany",236
"244",2017-02-10,"Italy",180
"245",2017-02-10,"Poland",70
"246",2017-02-10,"Spain",147
"247",2017-02-11,"Belgium",252
"248",2017-02-11,"France",221
"249",2017-02-11,"Germany",242
"250",2017-02-11,"Italy",182
"251",2017-02-11,"Poland",80
"252",2017-02-11,"Spain",158
"253",2017-02-12,"Belgium",266
"254",2017-02-12,"France",231
"255",2017-02-12,"Germany",271
"256",2017-02-12,"Italy",192
"257",2017-02-12,"Poland",82
"258",2017-02-12,"Spain",164
"259",2017-02-13,"Belgium",224
"260",2017-02-13,"France",193
"261",2017-02-13,"Germany",222
"262",2017-02-13,"Italy",158
"263",2017-02-13,"Poland",68
"264",2017-02-13,"Spain",137
"265",2017-02-14,"Belgium",215
"266",2017-02-14,"France",192
"267",2017-02-14,"Germany",219
"268",2017-02-14,"Italy",163
"269",2017-02-14,"Poland",65
"270",2017-02-14,"Spain",134
"271",2017-02-15,"Belgium",220
"272",2017-02-15,"France",196
"273",2017-02-15,"Germany",221
"274",2017-02-15,"Italy",161
"275",2017-02-15,"Poland",67
"276",2017-02-15,"Spain",142
"277",2017-02-16,"Belgium",220
"278",2017-02-16,"France",193
"279",2017-02-16,"Germany",215
"280",2017-02-16,"Italy",159
"281",2017-02-16,"Poland",71
"282",2017-02-16,"Spain",144
"283",2017-02-17,"Belgium",232
"284",2017-02-17,"France",198
"285",2017-02-17,"Germany",230
"286",2017-02-17,"Italy",168
"287",2017-02-17,"Poland",71
"288",2017-02-17,"Spain",144
"289",2017-02-18,"Belgium",250
"290",2017-02-18,"France",224
"291",2017-02-18,"Germany",257
"292",2017-02-18,"Italy",183
"293",2017-02-18,"Poland",80
"294",2017-02-18,"Spain",162
"295",2017-02-19,"Belgium",252
"296",2017-02-19,"France",240
"297",2017-02-19,"Germany",264
"298",2017-02-19,"Italy",187
"299",2017-02-19,"Poland",83
"300",2017-02-19,"Spain",166
"301",2017-02-20,"Belgium",225
"302",2017-02-20,"France",197
"303",2017-02-20,"Germany",222
"304",2017-02-20,"Italy",155
"305",2017-02-20,"Poland",70
"306",2017-02-20,"Spain",140
"307",2017-02-21,"Belgium",215
"308",2017-02-21,"France",195
"309",2017-02-21,"Germany",215
"310",2017-02-21,"Italy",162
"311",2017-02-21,"Poland",69
"312",2017-02-21,"Spain",136
"313",2017-02-22,"Belgium",223
"314",2017-02-22,"France",192
"315",2017-02-22,"Germany",223
"316",2017-02-22,"Italy",160
"317",2017-02-22,"Poland",66
"318",2017-02-22,"Spain",135
"319",2017-02-23,"Belgium",209
"320",2017-02-23,"France",195
"321",2017-02-23,"Germany",221
"322",2017-02-23,"Italy",157
"323",2017-02-23,"Poland",69
"324",2017-02-23,"Spain",137
"325",2017-02-24,"Belgium",228
"326",2017-02-24,"France",200
"327",2017-02-24,"Germany",218
"328",2017-02-24,"Italy",170
"329",2017-02-24,"Poland",72
"330",2017-02-24,"Spain",148
"331",2017-02-25,"Belgium",255
"332",2017-02-25,"France",218
"333",2017-02-25,"Germany",244
"334",2017-02-25,"Italy",183
"335",2017-02-25,"Poland",81
"336",2017-02-25,"Spain",164
"337",2017-02-26,"Belgium",261
"338",2017-02-26,"France",228
"339",2017-02-26,"Germany",267
"340",2017-02-26,"Italy",193
"341",2017-02-26,"Poland",83
"342",2017-02-26,"Spain",168
"343",2017-02-27,"Belgium",208
"344",2017-02-27,"France",194
"345",2017-02-27,"Germany",223
"346",2017-02-27,"Italy",165
"347",2017-02-27,"Poland",68
"348",2017-02-27,"Spain",139
"349",2017-02-28,"Belgium",224
"350",2017-02-28,"France",190
"351",2017-02-28,"Germany",218
"352",2017-02-28,"Italy",161
"353",2017-02-28,"Poland",70
"354",2017-02-28,"Spain",139
"355",2017-03-01,"Belgium",220
"356",2017-03-01,"France",188
"357",2017-03-01,"Germany",222
"358",2017-03-01,"Italy",159
"359",2017-03-01,"Poland",69
"360",2017-03-01,"Spain",133
"361",2017-03-02,"Belgium",209
"362",2017-03-02,"France",187
"363",2017-03-02,"Germany",212
"364",2017-03-02,"Italy",162
"365",2017-03-02,"Poland",69
"366",2017-03-02,"Spain",140
"367",2017-03-03,"Belgium",224
"368",2017-03-03,"France",202
"369",2017-03-03,"Germany",234
"370",2017-03-03,"Italy",170
"371",2017-03-03,"Poland",72
"372",2017-03-03,"Spain",150
"373",2017-03-04,"Belgium",240
"374",2017-03-04,"France",216
"375",2017-03-04,"Germany",249
"376",2017-03-04,"Italy",187
"377",2017-03-04,"Poland",79
"378",2017-03-04,"Spain",160
"379",2017-03-05,"Belgium",257
"380",2017-03-05,"France",231
"381",2017-03-05,"Germany",258
"382",2017-03-05,"Italy",192
"383",2017-03-05,"Poland",82
"384",2017-03-05,"Spain",164
"385",2017-03-06,"Belgium",212
"386",2017-03-06,"France",187
"387",2017-03-06,"Germany",222
"388",2017-03-06,"Italy",158
"389",2017-03-06,"Poland",68
"390",2017-03-06,"Spain",139
"391",2017-03-07,"Belgium",220
"392",2017-03-07,"France",186
"393",2017-03-07,"Germany",220
"394",2017-03-07,"Italy",163
"395",2017-03-07,"Poland",68
"396",2017-03-07,"Spain",140
"397",2017-03-08,"Belgium",212
"398",2017-03-08,"France",194
"399",2017-03-08,"Germany",230
"400",2017-03-08,"Italy",161
"401",2017-03-08,"Poland",67
"402",2017-03-08,"Spain",138
"403",2017-03-09,"Belgium",211
"404",2017-03-09,"France",190
"405",2017-03-09,"Germany",223
"406",2017-03-09,"Italy",167
"407",2017-03-09,"Poland",67
"408",2017-03-09,"Spain",138
"409",2017-03-10,"Belgium",228
"410",2017-03-10,"France",204
"411",2017-03-10,"Germany",231
"412",2017-03-10,"Italy",168
"413",2017-03-10,"Poland",71
"414",2017-03-10,"Spain",143
"415",2017-03-11,"Belgium",253
"416",2017-03-11,"France",220
"417",2017-03-11,"Germany",257
"418",2017-03-11,"Italy",185
"419",2017-03-11,"Poland",79
"420",2017-03-11,"Spain",164
"421",2017-03-12,"Belgium",255
"422",2017-03-12,"France",231
"423",2017-03-12,"Germany",256
"424",2017-03-12,"Italy",192
"425",2017-03-12,"Poland",77
"426",2017-03-12,"Spain",160
"427",2017-03-13,"Belgium",224
"428",2017-03-13,"France",189
"429",2017-03-13,"Germany",220
"430",2017-03-13,"Italy",156
"431",2017-03-13,"Poland",66
"432",2017-03-13,"Spain",136
"433",2017-03-14,"Belgium",218
"434",2017-03-14,"France",189
"435",2017-03-14,"Germany",224
"436",2017-03-14,"Italy",153
"437",2017-03-14,"Poland",67
"438",2017-03-14,"Spain",139
"439",2017-03-15,"Belgium",211
"440",2017-03-15,"France",195
"441",2017-03-15,"Germany",209
"442",2017-03-15,"Italy",161
"443",2017-03-15,"Poland",68
"444",2017-03-15,"Spain",137
"445",2017-03-16,"Belgium",214
"446",2017-03-16,"France",195
"447",2017-03-16,"Germany",220
"448",2017-03-16,"Italy",156
"449",2017-03-16,"Poland",68
"450",2017-03-16,"Spain",140
"451",2017-03-17,"Belgium",225
"452",2017-03-17,"France",203
"453",2017-03-17,"Germany",224
"454",2017-03-17,"Italy",168
"455",2017-03-17,"Poland",70
"456",2017-03-17,"Spain",145
"457",2017-03-18,"Belgium",252
"458",2017-03-18,"France",220
"459",2017-03-18,"Germany",255
"460",2017-03-18,"Italy",184
"461",2017-03-18,"Poland",77
"462",2017-03-18,"Spain",156
"463",2017-03-19,"Belgium",260
"464",2017-03-19,"France",224
"465",2017-03-19,"Germany",248
"466",2017-03-19,"Italy",191
"467",2017-03-19,"Poland",82
"468",2017-03-19,"Spain",166
"469",2017-03-20,"Belgium",219
"470",2017-03-20,"France",198
"471",2017-03-20,"Germany",217
"472",2017-03-20,"Italy",159
"473",2017-03-20,"Poland",67
"474",2017-03-20,"Spain",134
"475",2017-03-21,"Belgium",212
"476",2017-03-21,"France",187
"477",2017-03-21,"Germany",222
"478",2017-03-21,"Italy",157
"479",2017-03-21,"Poland",72
"480",2017-03-21,"Spain",140
"481",2017-03-22,"Belgium",212
"482",2017-03-22,"France",187
"483",2017-03-22,"Germany",221
"484",2017-03-22,"Italy",156
"485",2017-03-22,"Poland",67
"486",2017-03-22,"Spain",137
"487",2017-03-23,"Belgium",215
"488",2017-03-23,"France",185
"489",2017-03-23,"Germany",218
"490",2017-03-23,"Italy",153
"491",2017-03-23,"Poland",66
"492",2017-03-23,"Spain",139
"493",2017-03-24,"Belgium",230
"494",2017-03-24,"France",200
"495",2017-03-24,"Germany",222
"496",2017-03-24,"Italy",162
"497",2017-03-24,"Poland",71
"498",2017-03-24,"Spain",148
"499",2017-03-25,"Belgium",250
"500",2017-03-25,"France",221
"501",2017-03-25,"Germany",249
"502",2017-03-25,"Italy",182
"503",2017-03-25,"Poland",78
"504",2017-03-25,"Spain",157
"505",2017-03-26,"Belgium",266
"506",2017-03-26,"France",231
"507",2017-03-26,"Germany",258
"508",2017-03-26,"Italy",188
"509",2017-03-26,"Poland",79
"510",2017-03-26,"Spain",163
"511",2017-03-27,"Belgium",211
"512",2017-03-27,"France",193
"513",2017-03-27,"Germany",215
"514",2017-03-27,"Italy",158
"515",2017-03-27,"Poland",68
"516",2017-03-27,"Spain",142
"517",2017-03-28,"Belgium",218
"518",2017-03-28,"France",192
"519",2017-03-28,"Germany",216
"520",2017-03-28,"Italy",159
"521",2017-03-28,"Poland",67
"522",2017-03-28,"Spain",135
"523",2017-03-29,"Belgium",222
"524",2017-03-29,"France",184
"525",2017-03-29,"Germany",213
"526",2017-03-29,"Italy",152
"527",2017-03-29,"Poland",66
"528",2017-03-29,"Spain",139
"529",2017-03-30,"Belgium",224
"530",2017-03-30,"France",191
"531",2017-03-30,"Germany",219
"532",2017-03-30,"Italy",161
"533",2017-03-30,"Poland",66
"534",2017-03-30,"Spain",140
"535",2017-03-31,"Belgium",232
"536",2017-03-31,"France",204
"537",2017-03-31,"Germany",228
"538",2017-03-31,"Italy",162
"539",2017-03-31,"Poland",70
"540",2017-03-31,"Spain",147
"541",2017-04-01,"Belgium",253
"542",2017-04-01,"France",216
"543",2017-04-01,"Germany",258
"544",2017-04-01,"Italy",186
"545",2017-04-01,"Poland",78
"546",2017-04-01,"Spain",160
"547",2017-04-02,"Belgium",266
"548",2017-04-02,"France",224
"549",2017-04-02,"Germany",266
"550",2017-04-02,"Italy",194
"551",2017-04-02,"Poland",80
"552",2017-04-02,"Spain",164
"553",2017-04-03,"Belgium",225
"554",2017-04-03,"France",186
"555",2017-04-03,"Germany",220
"556",2017-04-03,"Italy",157
"557",2017-04-03,"Poland",64
"558",2017-04-03,"Spain",139
"559",2017-04-04,"Belgium",225
"560",2017-04-04,"France",189
"561",2017-04-04,"Germany",216
"562",2017-04-04,"Italy",159
"563",2017-04-04,"Poland",69
"564",2017-04-04,"Spain",136
"565",2017-04-05,"Belgium",210
"566",2017-04-05,"France",196
"567",2017-04-05,"Germany",218
"568",2017-04-05,"Italy",158
"569",2017-04-05,"Poland",68
"570",2017-04-05,"Spain",139
"571",2017-04-06,"Belgium",212
"572",2017-04-06,"France",186
"573",2017-04-06,"Germany",223
"574",2017-04-06,"Italy",158
"575",2017-04-06,"Poland",66
"576",2017-04-06,"Spain",136
"577",2017-04-07,"Belgium",224
"578",2017-04-07,"France",190
"579",2017-04-07,"Germany",234
"580",2017-04-07,"Italy",164
"581",2017-04-07,"Poland",72
"582",2017-04-07,"Spain",146
"583",2017-04-08,"Belgium",247
"584",2017-04-08,"France",223
"585",2017-04-08,"Germany",254
"586",2017-04-08,"Italy",191
"587",2017-04-08,"Poland",76
"588",2017-04-08,"Spain",162
"589",2017-04-09,"Belgium",259
"590",2017-04-09,"France",226
"591",2017-04-09,"Germany",267
"592",2017-04-09,"Italy",189
"593",2017-04-09,"Poland",81
"594",2017-04-09,"Spain",164
"595",2017-04-10,"Belgium",222
"596",2017-04-10,"France",193
"597",2017-04-10,"Germany",224
"598",2017-04-10,"Italy",152
"599",2017-04-10,"Poland",67
"600",2017-04-10,"Spain",136
"601",2017-04-11,"Belgium",223
"602",2017-04-11,"France",194
"603",2017-04-11,"Germany",215
"604",2017-04-11,"Italy",160
"605",2017-04-11,"Poland",67
"606",2017-04-11,"Spain",139
"607",2017-04-12,"Belgium",216
"608",2017-04-12,"France",191
"609",2017-04-12,"Germany",224
"610",2017-04-12,"Italy",158
"611",2017-04-12,"Poland",68
"612",2017-04-12,"Spain",144
"613",2017-04-13,"Belgium",222
"614",2017-04-13,"France",186
"615",2017-04-13,"Germany",211
"616",2017-04-13,"Italy",159
"617",2017-04-13,"Poland",68
"618",2017-04-13,"Spain",139
"619",2017-04-14,"Belgium",221
"620",2017-04-14,"France",200
"621",2017-04-14,"Germany",234
"622",2017-04-14,"Italy",173
"623",2017-04-14,"Poland",68
"624",2017-04-14,"Spain",143
"625",2017-04-15,"Belgium",260
"626",2017-04-15,"France",220
"627",2017-04-15,"Germany",254
"628",2017-04-15,"Italy",178
"629",2017-04-15,"Poland",79
"630",2017-04-15,"Spain",160
"631",2017-04-16,"Belgium",255
"632",2017-04-16,"France",231
"633",2017-04-16,"Germany",281
"634",2017-04-16,"Italy",194
"635",2017-04-16,"Poland",83
"636",2017-04-16,"Spain",173
"637",2017-04-17,"Belgium",220
"638",2017-04-17,"France",197
"639",2017-04-17,"Germany",243
"640",2017-04-17,"Italy",162
"641",2017-04-17,"Poland",73
"642",2017-04-17,"Spain",148
"643",2017-04-18,"Belgium",222
"644",2017-04-18,"France",193
"645",2017-04-18,"Germany",250
"646",2017-04-18,"Italy",164
"647",2017-04-18,"Poland",74
"648",2017-04-18,"Spain",156
"649",2017-04-19,"Belgium",222
"650",2017-04-19,"France",198
"651",2017-04-19,"Germany",259
"652",2017-04-19,"Italy",170
"653",2017-04-19,"Poland",82
"654",2017-04-19,"Spain",152
"655",2017-04-20,"Belgium",237
"656",2017-04-20,"France",212
"657",2017-04-20,"Germany",251
"658",2017-04-20,"Italy",172
"659",2017-04-20,"Poland",83
"660",2017-04-20,"Spain",148
"661",2017-04-21,"Belgium",254
"662",2017-04-21,"France",232
"663",2017-04-21,"Germany",278
"664",2017-04-21,"Italy",186
"665",2017-04-21,"Poland",87
"666",2017-04-21,"Spain",156
"667",2017-04-22,"Belgium",292
"668",2017-04-22,"France",236
"669",2017-04-22,"Germany",276
"670",2017-04-22,"Italy",201
"671",2017-04-22,"Poland",97
"672",2017-04-22,"Spain",161
"673",2017-04-23,"Belgium",293
"674",2017-04-23,"France",261
"675",2017-04-23,"Germany",288
"676",2017-04-23,"Italy",208
"677",2017-04-23,"Poland",93
"678",2017-04-23,"Spain",170
"679",2017-04-24,"Belgium",222
"680",2017-04-24,"France",197
"681",2017-04-24,"Germany",234
"682",2017-04-24,"Italy",165
"683",2017-04-24,"Poland",72
"684",2017-04-24,"Spain",138
"685",2017-04-25,"Belgium",220
"686",2017-04-25,"France",192
"687",2017-04-25,"Germany",222
"688",2017-04-25,"Italy",164
"689",2017-04-25,"Poland",68
"690",2017-04-25,"Spain",134
"691",2017-04-26,"Belgium",215
"692",2017-04-26,"France",196
"693",2017-04-26,"Germany",221
"694",2017-04-26,"Italy",172
"695",2017-04-26,"Poland",70
"696",2017-04-26,"Spain",138
"697",2017-04-27,"Belgium",208
"698",2017-04-27,"France",191
"699",2017-04-27,"Germany",214
"700",2017-04-27,"Italy",168
"701",2017-04-27,"Poland",68
"702",2017-04-27,"Spain",137
"703",2017-04-28,"Belgium",226
"704",2017-04-28,"France",189
"705",2017-04-28,"Germany",238
"706",2017-04-28,"Italy",178
"707",2017-04-28,"Poland",70
"708",2017-04-28,"Spain",143
"709",2017-04-29,"Belgium",249
"710",2017-04-29,"France",221
"711",2017-04-29,"Germany",252
"712",2017-04-29,"Italy",200
"713",2017-04-29,"Poland",78
"714",2017-04-29,"Spain",157
"715",2017-04-30,"Belgium",254
"716",2017-04-30,"France",230
"717",2017-04-30,"Germany",251
"718",2017-04-30,"Italy",206
"719",2017-04-30,"Poland",81
"720",2017-04-30,"Spain",163
"721",2017-05-01,"Belgium",213
"722",2017-05-01,"France",194
"723",2017-05-01,"Germany",210
"724",2017-05-01,"Italy",177
"725",2017-05-01,"Poland",67
"726",2017-05-01,"Spain",140
"727",2017-05-02,"Belgium",223
"728",2017-05-02,"France",196
"729",2017-05-02,"Germany",217
"730",2017-05-02,"Italy",169
"731",2017-05-02,"Poland",69
"732",2017-05-02,"Spain",140
"733",2017-05-03,"Belgium",231
"734",2017-05-03,"France",204
"735",2017-05-03,"Germany",226
"736",2017-05-03,"Italy",178
"737",2017-05-03,"Poland",72
"738",2017-05-03,"Spain",141
"739",2017-05-04,"Belgium",238
"740",2017-05-04,"France",209
"741",2017-05-04,"Germany",244
"742",2017-05-04,"Italy",175
"743",2017-05-04,"Poland",76
"744",2017-05-04,"Spain",150
"745",2017-05-05,"Belgium",260
"746",2017-05-05,"France",228
"747",2017-05-05,"Germany",264
"748",2017-05-05,"Italy",183
"749",2017-05-05,"Poland",82
"750",2017-05-05,"Spain",164
"751",2017-05-06,"Belgium",276
"752",2017-05-06,"France",245
"753",2017-05-06,"Germany",279
"754",2017-05-06,"Italy",204
"755",2017-05-06,"Poland",92
"756",2017-05-06,"Spain",178
"757",2017-05-07,"Belgium",275
"758",2017-05-07,"France",248
"759",2017-05-07,"Germany",290
"760",2017-05-07,"Italy",207
"761",2017-05-07,"Poland",99
"762",2017-05-07,"Spain",181
"763",2017-05-08,"Belgium",227
"764",2017-05-08,"France",201
"765",2017-05-08,"Germany",232
"766",2017-05-08,"Italy",164
"767",2017-05-08,"Poland",80
"768",2017-05-08,"Spain",144
"769",2017-05-09,"Belgium",217
"770",2017-05-09,"France",200
"771",2017-05-09,"Germany",228
"772",2017-05-09,"Italy",159
"773",2017-05-09,"Poland",78
"774",2017-05-09,"Spain",140
"775",2017-05-10,"Belgium",217
"776",2017-05-10,"France",209
"777",2017-05-10,"Germany",221
"778",2017-05-10,"Italy",160
"779",2017-05-10,"Poland",71
"780",2017-05-10,"Spain",142
"781",2017-05-11,"Belgium",212
"782",2017-05-11,"France",206
"783",2017-05-11,"Germany",218
"784",2017-05-11,"Italy",163
"785",2017-05-11,"Poland",69
"786",2017-05-11,"Spain",143
"787",2017-05-12,"Belgium",222
"788",2017-05-12,"France",223
"789",2017-05-12,"Germany",222
"790",2017-05-12,"Italy",167
"791",2017-05-12,"Poland",72
"792",2017-05-12,"Spain",142
"793",2017-05-13,"Belgium",247
"794",2017-05-13,"France",238
"795",2017-05-13,"Germany",238
"796",2017-05-13,"Italy",183
"797",2017-05-13,"Poland",77
"798",2017-05-13,"Spain",150
"799",2017-05-14,"Belgium",256
"800",2017-05-14,"France",249
"801",2017-05-14,"Germany",258
"802",2017-05-14,"Italy",182
"803",2017-05-14,"Poland",79
"804",2017-05-14,"Spain",163
"805",2017-05-15,"Belgium",210
"806",2017-05-15,"France",199
"807",2017-05-15,"Germany",219
"808",2017-05-15,"Italy",156
"809",2017-05-15,"Poland",67
"810",2017-05-15,"Spain",140
"811",2017-05-16,"Belgium",215
"812",2017-05-16,"France",190
"813",2017-05-16,"Germany",213
"814",2017-05-16,"Italy",155
"815",2017-05-16,"Poland",64
"816",2017-05-16,"Spain",135
"817",2017-05-17,"Belgium",210
"818",2017-05-17,"France",187
"819",2017-05-17,"Germany",205
"820",2017-05-17,"Italy",154
"821",2017-05-17,"Poland",66
"822",2017-05-17,"Spain",137
"823",2017-05-18,"Belgium",214
"824",2017-05-18,"France",186
"825",2017-05-18,"Germany",207
"826",2017-05-18,"Italy",153
"827",2017-05-18,"Poland",68
"828",2017-05-18,"Spain",136
"829",2017-05-19,"Belgium",224
"830",2017-05-19,"France",198
